Category,Prompt_Name,Use_Case,Prompt_Text
Code,Prompt for Tools,Boilerplate prompt,"Create a prompt that helps an AI assistant reliably generate boilerplate {framework} components using our conventions: {brief_conventions}."
Customer Service,Tone Normalizer,Tone adjustment,"Rewrite this support reply in a calm, empathetic, but firm tone while keeping the core message: {draft_reply}."
Customer Service,Macro Builder,Support macros,"Create 10 reusable support macros for {product} covering refund request, feature request, bug report, confused user, outage, upgrade, downgrade, billing issue, login issue, and 'not a good fit'."
Customer Service,De-escalation Reply,Handle angry customer,"Write a response to an angry customer who experienced {issue}. Include acknowledgement, apology, immediate fix, prevention, and next step."
Customer Service,Internal Summary,Internal handoff,"Summarize this long support thread into 5 bullet points for the dev team, highlighting root cause and requested fixes: {thread_text}."
Customer Service,Self-Serve Help Article,Help doc,"Write a help center article that explains how to {task} in {product}. Include screenshot placeholders and troubleshooting."
Customer Service,Refund Policy Clarifier,Policy explanation,"Explain our refund policy in plain language to a customer considering buying {product}. Assume policy: {policy_rules}."
Customer Service,Feature Request Response,Not committing,"Write a reply to a feature request that we cannot commit to yet, but want to acknowledge and log. Keep it honest."
Customer Service,Onboarding Sequence,Onboarding emails,"Draft a 4-email onboarding sequence for new users of {product}. Each email: subject, goal, main tip, CTA."
Customer Service,Upsell From Support,Light upsell,"Write a support reply that solves this problem {issue} and subtly recommends {higher_plan_or_addon} as a way to avoid it in future."
Customer Service,Bug Acknowledgement Template,Bug reply,"Create a template for acknowledging a reported bug, including what we know, how to reproduce, status, and expectation setting."
Customer Service,Churn Survey Prompt,Churn survey,"Write 3 short questions for a ‘sorry to see you go’ survey that yields useful feedback for {product}."
Customer Service,Internal Tagging System,Ticket taxonomy,"Design a tagging system for support tickets for {product} to track common issues and churn risks. Include tag names and usage rules."
Customer Service,Multi-channel Tone Guide,Tone guide,"Create a tone-of-voice guide for support across email, chat, social replies. Brand style: {tone_description}."
Customer Service,Macros to Snippets Conversion,Snippet library,"Turn these long macros {macro_text} into short reusable snippets we can combine quickly in live chat."
Customer Service,Priority Scoring,Ticket triage,"Create a simple priority scoring model for tickets based on impact, scope, customer segment, and urgency. Explain scoring rules."
